T_tot,J,B_A,mdot,error,Ra,Rc,Ra0,La,Rbi,Rbo,Lc_a,V,Pb,propellant,source,thruster,A_mat,C_mat,config,l_st
0.0025,25,0.1,3,0.0003,14.1,1.5,1,28.1,25,75,-2,21.6,0.5,Ar,IEPC-2003-092,WasedaA,NA,ThO2W,cylcone,11
0.0025,25,0.125,3,0.0003,14.1,1.5,1,28.1,25,75,-2,21.5,0.5,Ar,IEPC-2003-092,WasedaA,NA,ThO2W,cylcone,11
0.003,25,0.15,3,0.0003,14.1,1.5,1,28.1,25,75,-2,22.4,0.5,Ar,IEPC-2003-092,WasedaA,NA,ThO2W,cylcone,11
0.003,25,0.175,3,0.0003,14.1,1.5,1,28.1,25,75,-2,22,0.5,Ar,IEPC-2003-092,WasedaA,NA,ThO2W,cylcone,11
0.003,15.3,0.15,3,0.0003,14.1,1.5,1,28.1,25,75,-2,26.7,0.5,Ar,IEPC-2003-092,WasedaA,NA,ThO2W,cylcone,11
0.003,25.6,0.15,3,0.0003,14.1,1.5,1,28.1,25,75,-2,22.4,0.5,Ar,IEPC-2003-092,WasedaA,NA,ThO2W,cylcone,11
0.003,36.5,0.15,3,0.0003,14.1,1.5,1,28.1,25,75,-2,19.6,0.5,Ar,IEPC-2003-092,WasedaA,NA,ThO2W,cylcone,11
0.0085,25,0.1,3,0.0003,14.1,1.5,2,25.9,25,75,-3,27,0.5,Ar,IEPC-2003-092,WasedaB,NA,ThO2W,cylcone,11
0.0104,25,0.125,3,0.0003,14.1,1.5,2,25.9,25,75,-3,28.1,0.5,Ar,IEPC-2003-092,WasedaB,NA,ThO2W,cylcone,11
0.0134,25,0.15,3,0.0003,14.1,1.5,2,25.9,25,75,-3,28.9,0.5,Ar,IEPC-2003-092,WasedaB,NA,ThO2W,cylcone,11
0.0154,25,0.175,3,0.0003,14.1,1.5,2,25.9,25,75,-3,29.8,0.5,Ar,IEPC-2003-092,WasedaB,NA,ThO2W,cylcone,11
0.0159,25,0.175,3,0.0003,14.1,1.5,2,25.9,25,75,-3,32.5,0.5,Ar,IEPC-2003-092,WasedaB,NA,ThO2W,cylcone,11
0.0067,15.3,0.15,3,0.0003,14.1,1.5,2,25.9,25,75,-3,31.9,0.5,Ar,IEPC-2003-092,WasedaB,NA,ThO2W,cylcone,11
0.0134,25.6,0.15,3,0.0003,14.1,1.5,2,25.9,25,75,-3,28.8,0.5,Ar,IEPC-2003-092,WasedaB,NA,ThO2W,cylcone,11
0.014,36.5,0.15,3,0.0003,14.1,1.5,2,25.9,25,75,-3,27,0.5,Ar,IEPC-2003-092,WasedaB,NA,ThO2W,cylcone,11
0.0097,25,0.125,3,0.0003,14.1,1.5,3,23.8,25,75,-4,26.1,0.5,Ar,IEPC-2003-092,WasedaC,NA,ThO2W,cylcone,11
0.0109,25,0.15,3,0.0003,14.1,1.5,3,23.8,25,75,-4,27.1,0.5,Ar,IEPC-2003-092,WasedaC,NA,ThO2W,cylcone,11
0.0188,25,0.2,3,0.0003,14.1,1.5,3,23.8,25,75,-4,28.7,0.5,Ar,IEPC-2003-092,WasedaC,NA,ThO2W,cylcone,11
0.0109,25.6,0.15,3,0.0003,14.1,1.5,3,23.8,25,75,-4,27.2,0.5,Ar,IEPC-2003-092,WasedaC,NA,ThO2W,cylcone,11
0.014,36.5,0.15,3,0.0003,14.1,1.5,3,23.8,25,75,-4,29.6,0.5,Ar,IEPC-2003-092,WasedaC,NA,ThO2W,cylcone,11
